model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,2,off,nan,1,64,64,0,1,1.200412,0.833047,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,64,64,1,1,0.180675,5.534814,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,64,64,0,0,0.185894,5.379401,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,64,64,1,0,0.105645,9.465638,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,64,64,2,0,0.182897,5.467562,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,64,64,3,0,0.101970,9.806837,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,64,64,4,0,0.182253,5.486873,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,128,64,0,1,0.188761,5.297701,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,128,64,1,1,0.104806,9.541417,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,128,64,0,0,0.188991,5.291248,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,128,64,1,0,0.185132,5.401540,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,128,64,2,0,0.108718,9.198135,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,128,64,3,0,0.185463,5.391912,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,128,64,4,0,0.188923,5.293165,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,256,64,0,1,0.189220,5.284865,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,256,64,1,1,0.197528,5.062566,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,256,64,0,0,0.199442,5.013982,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,256,64,1,0,0.195117,5.125121,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,256,64,2,0,0.283024,3.533274,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,256,64,3,0,0.279571,3.576904,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,256,64,4,0,0.194058,5.153088,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,512,64,0,1,0.203195,4.921372,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,512,64,1,1,0.287860,3.473909,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,512,64,0,0,0.290440,3.443049,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,512,64,1,0,0.201583,4.960739,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,512,64,2,0,0.278029,3.596744,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,512,64,3,0,0.196719,5.083381,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,512,64,4,0,0.192178,5.203496,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,1024,64,0,1,0.285172,3.506652,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,1024,64,1,1,0.208833,4.788506,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,1024,64,0,0,0.287138,3.482641,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,1024,64,1,0,0.218209,4.582756,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,1024,64,2,0,0.283427,3.528250,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,1024,64,3,0,0.202813,4.930644,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,1024,64,4,0,0.282671,3.537680,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,2048,64,0,1,0.388120,2.576524,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,2048,64,1,1,0.389622,2.566589,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,2048,64,0,0,0.307643,3.250517,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,2048,64,1,0,0.385406,2.594669,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,2048,64,2,0,0.392935,2.544947,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,2048,64,3,0,0.385813,2.591927,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,2,off,nan,1,2048,64,4,0,0.308715,3.239229,nan,nan,nan,4.014,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,0,1,0.358427,2.789965,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,1,1,0.192001,5.208308,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,0,0,0.110991,9.009739,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,1,0,0.193523,5.167353,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,2,0,0.195716,5.109448,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,3,0,0.191178,5.230735,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,4,0,0.132643,7.539050,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,0,1,0.191512,5.221594,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,1,1,0.198908,5.027451,nan,nan,nan,4.374,ok,
