model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,64,64,0,1,0.650363,1.537602,7.266882,7.505000,5.851881,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,64,64,1,1,0.036809,27.167295,0.238800,0.400000,0.049077,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,64,64,0,0,0.037589,26.603851,0.281200,0.420000,0.057969,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,64,64,1,0,0.037255,26.842176,0.112400,0.223500,0.022644,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,64,64,2,0,0.037236,26.855795,0.186200,0.243000,0.041308,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,64,64,3,0,0.036740,27.217943,0.157600,0.278000,0.032619,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,64,64,4,0,0.036385,27.483798,0.237600,0.374000,0.048869,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,128,64,0,1,0.038809,25.767248,0.135600,0.205500,0.028973,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,128,64,1,1,0.039858,25.089314,0.169400,0.313000,0.034676,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,128,64,0,0,0.041078,24.343780,0.226400,0.376000,0.046854,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,128,64,1,0,0.040534,24.670467,0.120800,0.269000,0.023597,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,128,64,2,0,0.040564,24.652491,0.260000,0.341500,0.056853,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,128,64,3,0,0.038808,25.767806,0.181600,0.302000,0.037878,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,128,64,4,0,0.041070,24.348409,0.196200,0.311000,0.041030,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,256,64,0,1,0.052764,18.952196,0.169417,0.284500,0.043996,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,256,64,1,1,0.037565,26.620215,0.158700,0.265500,0.033267,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,256,64,0,0,0.040637,24.608012,0.235600,0.338000,0.050808,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,256,64,1,0,0.038397,26.044036,0.237200,0.366000,0.049401,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,256,64,2,0,0.036560,27.352059,0.197600,0.346000,0.041008,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,256,64,3,0,0.040764,24.531649,0.165200,0.269500,0.034795,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,256,64,4,0,0.038317,26.098342,0.237000,0.306000,0.051872,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,512,64,0,1,0.040173,24.892630,0.192000,0.322000,0.040198,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,512,64,1,1,0.040564,24.652174,0.154400,0.258000,0.032384,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,512,64,0,0,0.038258,26.138476,0.260800,0.371500,0.056273,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,512,64,1,0,0.040427,24.735757,0.233600,0.414000,0.048337,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,512,64,2,0,0.037506,26.662495,0.233000,0.397000,0.048515,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,512,64,3,0,0.037462,26.693461,0.212400,0.344000,0.044795,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,512,64,4,0,0.037942,26.355871,0.313600,0.397500,0.069376,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,0,1,0.041061,24.353815,0.316000,0.518000,0.066133,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,1,1,0.050978,19.616292,0.391200,0.634000,0.081262,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,0,0,0.042364,23.605209,0.340400,0.478000,0.073618,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,1,0,0.039444,25.352191,0.293400,0.492000,0.061728,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,2,0,0.039224,25.494275,0.302600,0.509000,0.063217,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,3,0,0.038680,25.853154,0.352000,0.592000,0.073266,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,4,0,0.039429,25.361794,0.428000,0.545000,0.093400,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,0,1,0.044888,22.277679,0.419000,0.705000,0.087532,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,1,1,0.043035,23.237122,0.370000,0.618000,0.077616,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,0,0,0.040062,24.961421,0.482400,0.713000,0.103965,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,1,0,0.043326,23.080577,0.647700,0.838500,0.142471,7.365,ok,
